ISBN,Book-Title,Book-Author,Publisher,Predicted_Rating
0439425220,Harry Potter and the Chamber of Secrets Postcard Book,J. K. Rowling,Scholastic,9.663282618493099
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,Arthur A. Levine Books,9.567368657563973
0836218787,Scientific Progress Goes 'Boink':  A Calvin and Hobbes Collection,Bill Watterson,Andrews McMeel Publishing,9.455181545731927
0836213319,Dilbert: A Book of Postcards,Scott Adams,Andrews McMeel Pub,9.413005527755884
0836204387,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,Andrews McMeel Publishing,9.402844306253638
0743454529,"My Sister's Keeper : A Novel (Picoult, Jodi)",Jodi Picoult,Atria,9.390029022914119
0140143505,84 Charing Cross Road,Helene Hanff,Penguin Books,9.333000475876304
0618129022,The Lord of the Rings (Movie Art Cover),J.R.R. Tolkien,Houghton Mifflin Company,9.283572947291203
0836217691,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,Bill Watterson,Andrews McMeel Publishing,9.278424485649047
0618002235,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,Houghton Mifflin Company,9.269057923532056
